game_id,agent1_name,agent2_name,winner,starter,total_moves,total_duration,agent1_avg_time,agent2_avg_time,agent1_max_time,agent2_max_time,seed
0,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,17.354978600000322,0.8011519600011525,2.669419619998371,1.000191699997231,8.88684519999515,239081663
1,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,7.573485699998855,0.7568855750014336,0.9088399599990226,0.9854188000026625,1.8145336999950814,53710184
2,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,12.48057770000014,0.8034280599982594,1.6923947200004477,1.0018388999960735,4.15534160000243,590620971
3,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,11,12.518268799998623,0.7964935399999377,1.4222903500000637,0.980152399999497,4.699657899996964,525901256
4,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,16.427830900000117,0.7985286399998586,2.4867429399993854,0.9817336999985855,8.41938709999522,479341423
5,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,11.094617599999765,0.7509348500007036,1.6177906599987182,0.9790082000035909,6.68831940000382,299655412
6,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,12.365754699996614,0.807435880000412,1.6654003400020883,1.0128568000000087,2.8241382999985944,220106707
7,MCTS_5s_C1.41,Minimax_d2_tb1s,MCTS_5s_C1.41,agent1,22,81.88685300000361,0.3152225090895875,7.1286435999989575,1.059491899999557,20.966815699997824,186699713
8,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,14.38421489999746,0.80781637999753,2.0685634400011623,1.0251461999941966,5.504893800003629,906070220
9,MCTS_5s_C1.41,Minimax_d2_tb1s,draw,agent1,37,130.55476349999662,0.52666342222114,6.72585687222171,0.9934858999986318,25.03541039999982,68252793
10,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,26,118.42135069999495,0.6862148307706005,8.422563553847095,1.1572870000018156,30.267203000003065,63989047
11,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,24.295856099997764,0.8721105249987886,4.160721860000922,1.1135487999999896,11.402149599998666,201209005
12,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,26.129550199999358,0.9423361999972257,4.283014700000058,1.3121629999950528,10.839038999998593,469521477
13,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,13.57934430000023,0.8540013999991061,2.031860719999531,1.2057874000020092,6.720114499999909,499635468
14,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,35.37803469999926,1.053485759999603,6.021582800000033,1.7608082000006107,16.48937119999755,56985561
15,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,15,65.92710940000688,0.9029602428573915,7.450310987499506,1.311396800003422,41.750074100003985,427000596
16,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,11.940123399996082,0.817115979999653,1.570516040000075,1.025728300002811,4.652039499997045,900911954
17,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,13.946194299998751,0.7574991000001319,2.1828707600012422,0.987156800001685,7.864312400000927,473392624
18,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,23.70658050000202,0.8329739399981918,3.9079404200005228,1.0457477000018116,13.899405100004515,964669077
19,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,7.306682399997953,0.7826091749975603,0.8346203200009767,1.0507624999954714,2.375531099998625,597409992
20,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,13.5893697000065,0.8187587799999164,1.8987044799985597,1.0258227999947849,5.9116168999971705,13955983
21,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,11,29.375079199999163,0.8211250799984555,4.211126699997597,1.0257297999996808,21.225628099993628,342865762
22,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,13.61274499999854,0.8331204200003413,1.8890280400009942,1.087732899999537,4.487086499997531,907557512
23,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,15,42.00832889999583,0.7682574428565984,4.578346075001718,1.2686045999944326,20.95547230000375,730682427
24,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,20,69.15923949999706,0.6290150599990738,6.28660904999997,1.037688700002036,18.471576899995853,596724164
25,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,11,11.590022699994734,0.8053937800010317,1.2600521833325427,0.9944137000056799,3.7706271999995806,333889688
26,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,16.053230299999996,0.8370456400007242,2.373272679999354,1.116285300005984,6.513052099995548,462382781
27,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,11,16.189347200001066,0.6689196399995125,2.1403801833330363,1.1409932000024128,6.360399700002745,722831292
28,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,22.30646870000055,0.8104674799993518,3.650509360000433,1.0110949000008986,14.002679299999727,219494902
29,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,11,15.48024820000137,0.8165403399980278,1.8991759166650202,1.0451459999967483,8.014018200003193,199170184
30,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,24.998782399998163,0.8080185999991955,4.191420000001381,1.0107703999965452,15.444025500000862,815887678
31,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,17,22.81742210000084,0.7940528874996744,1.8291181111093868,1.1902573000043049,5.876668299999437,207696843
32,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,13.399040700001933,0.8196971200028201,1.8597790799991345,1.062064100005955,4.076720299999579,770902343
33,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,13,28.912852299996302,0.8349695166652964,3.41438551428707,1.0010117999991053,16.04234639999777,738639288
34,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,26,65.93606829999771,0.6346875769226105,4.436969507692154,1.055948499997612,13.028549599999678,568054227
35,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,11.928727400001662,0.7731504749990563,1.7667290399971534,1.0207872999963001,7.314880299993092,93309105
36,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,18.66490370000247,0.8180467199999839,2.9146249399986117,1.0491006000011112,9.636986400000751,986607411
37,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,15,39.59560580000107,0.7301139142863187,4.310201199999938,1.0234282000019448,17.922427500001504,268062140
38,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,15.257240400002047,0.8208188200020231,2.230322800001886,1.037130700002308,6.057508000005328,812896393
39,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,11,16.74985420000303,0.8114098799997009,2.1149746666657543,1.034236300001794,9.416230499999074,169222132
40,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,15.809576599996944,0.8496237000013934,2.3119760000015956,1.1934653999996954,6.456526400004805,629595552
41,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,11.230432500000461,0.7796371750027902,1.622012939999695,1.034561800006486,4.539922900003148,776605304
42,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,23.6981633999967,0.8139371000012033,3.92541029999702,1.0394626000052085,14.232225599997037,412936598
43,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,19,47.275168200001644,0.5811784111121798,4.204098990001512,1.0451765000034356,12.922230500000296,149368553
44,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,12.701879599997483,0.808069460002298,1.731993239998701,1.0013710000057472,3.794674099997792,98407116
45,MCTS_5s_C1.41,Minimax_d2_tb1s,MCTS_5s_C1.41,agent1,22,56.486878799994884,0.4809218272738773,4.653830590907918,1.0329046999977436,15.93837949999579,489407815
46,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,20.085039999998116,0.8456529599992791,3.170964180001465,1.1424979999937932,11.067484999999579,621455910
47,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,11,10.589457500005665,0.8096912600012729,1.0897438166660625,1.0266453000003821,2.9161611999952584,171351960
48,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,14.684621200001857,0.8114754399997764,2.1249907800010988,1.015511500001594,7.294605600000068,499914620
49,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,15,43.6522346999991,0.7252473714293696,4.821567912499631,1.0225531999967643,20.46801889999915,216898920
50,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,12.653471600002376,0.8419879200009746,1.6883642200031317,1.0935191000025952,3.189332900001318,816314859
51,MCTS_5s_C1.41,Minimax_d2_tb1s,MCTS_5s_C1.41,agent1,10,12.537093099999765,0.7985226199991302,1.7084808999992673,1.0055189999984577,2.895906500001729,596943772
52,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,17.70072909999726,0.8248617200006265,2.714969999999448,1.033456600001955,7.940271499996015,973691209
53,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,15,37.62352820000524,0.7326152714283255,4.061527812500572,1.0427089000004344,16.771565199996985,783471136
